CHFJPY,GBPJPY
116.819,137.462
116.983,138.493
117.297,138.625
117.024,139.434
116.834,139.654
116.583,140.069
116.959,139.725
116.798,138.845
116.577,138.971
116.46,138.425
116.497,139.711
116.226,140.388
116.269,140.286
116.671,139.602
117.097,139.779
117.066,140.53
116.616,141.116
116.709,140.977
116.973,139.959
116.89,139.862
117.258,140.246
117.255,140.841
117.402,140.954
117.255,140.824
117.013,140.747
117.017,141.755
116.947,141.594
116.855,142.076
116.519,141.026
116.542,141.066
116.381,140.815
116.897,141.654
116.41,141.401
116.909,142.104
117.216,141.952
117.179,141.988
116.822,141.879
116.823,142.312
117.081,142.474
117.276,143.05
117.53,143.465
117.629,143.591
116.957,143.392
116.943,143.424
116.8,143.291
116.67,144.186
117.138,144.677
117.179,144.635
117.072,144.53
117.155,144.411
117.45,144.676
117.662,144.705
117.623,145.288
117.672,145.452
118.301,146.515
118.804,147.477
117.804,146.729
117.911,147.645
117.59,147.639
117.696,147.836
117.2,147.809
116.256,148.513
116.723,149.705
117.397,148.851
117.213,148.305
117.271,148.487
116.647,148.659
116.592,148.853
116.316,149.236
116.201,150.003
116.389,149.923
116.362,149.996
116.271,150.468
116.948,150.732
116.522,151.024
117.31,151.748
117.28,151.692
117.319,151.868
117.632,151.661
117.838,151.473
117.985,151.984
117.462,151.714
117.159,150.904
117.083,150.665
117.822,150.815
116.272,149.309
116.164,148.757
116.155,149.973
116.778,151.206
116.805,151.214
116.837,151.118
117.043,151.536
117.299,152.533
117.325,152.904
117.33,152.991
117.268,152.843
117.587,153.116
117.76,151.72
118.109,150.827
118.138,150.036
118.602,150.247
118.504,150.297
118.523,150.288
118.442,149.94
117.988,150.088
117.843,149.841
118.248,150.498
118.223,150.405
118.161,151.197
117.932,150.605
117.818,150.525
117.684,149.389
118.046,149.611
118.08,149.717
118.168,150.137
118.899,151.127
119.338,151.343
119.773,151.849
119.722,150.942
119.662,150.94
119.66,151.695
119.56,151.752
119.557,151.828
120.116,151.456
120.552,151.79
120.533,152.057
120.69,153.691
120.156,153.578
120.612,154.147
120.825,153.773
121.301,154.055
121.134,153.967
120.886,154.368
121.258,154.457
120.783,154.082
121.2,154.335
121.338,154.169
121.212,154.071
121.187,153.92
121.392,153.867
121.475,154.074
122.358,155.941
122.029,155.781
122.022,155.866
121.884,155.671
121.919,154.868
121.958,155.237
122.051,155.527
121.8,155.064
121.683,154.997
121.664,154.911
122.025,154.882
122.324,154.715
122.162,154.995
122.141,154.648
122.005,154.692
122.272,155.277
122.437,154.961
121.75,154.725
120.101,153.487
119.381,152.064
119.428,152.085
120.128,153.694
120.46,154.302
120.831,154.918
120.714,154.281
120.794,153.736
120.725,153.696
120.225,153.509
119.995,152.956
120.041,153.587
120.471,153.463
120.548,153.471
120.43,153.547
120.238,153.64
119.577,152.617
119.432,152.676
119.918,151.277
120.462,153.1
120.386,152.923
120.556,153.188
120.439,152.801
120.11,152.363
119.607,151.825
119.632,151.452
119.623,151.421
119.202,149.665
119.138,149.682
120.176,151.221
119.716,151.514
120.196,151.871
120.063,151.97
120.483,152.543
119.988,152.365
120.771,152.845
120.794,152.801
121.136,152.407
120.93,152.325
120.649,151.735
120.545,151.686
120.732,152.009
120.964,152.849
120.456,152.857
120.42,152.929
119.836,152.746
119.758,152.941
119.772,153.116
119.525,152.475
119.744,151.922
119.606,151.901
119.662,151.223
119.691,150.53
119.658,150.956
119.371,149.637
119.712,149.476
119.63,149.368
120.142,150.491
120.098,150.531
120.364,151.32
119.821,150.78
120.554,151.047
120.428,151.035
119.804,151.107
120.151,151.302
120.114,151.489
120.131,152.073
120.007,151.865
119.966,152.009
119.897,151.95
119.887,152.03
119.545,151.877
119.596,151.811
119.701,151.939
119.543,151.902
119.219,152.202
119.162,151.473
118.8,151.378
118.261,151.342
117.953,150.943
117.904,150.851
117.814,149.386
118.133,149.167
118.449,149.502
119.229,151.314
119.787,151.404
119.668,151.192
119.795,152.061
119.969,150.939
119.712,150.296
119.389,149.921
119.304,150.393
119.244,150.224
119.934,150.994
120.016,151.896
120.053,151.336
120.119,151.952
121.012,152.699
121.012,152.757
122.104,154.05
121.975,154.342
122.545,154.679
123.02,155.414
123.741,156.976
123.64,157.123
123.711,156.928
123.868,157.731
124.254,158.061
124.107,157.231
123.864,155.991
123.81,156.054
123.591,156.537
123.975,157.102
123.872,156.376
124.525,156.645
124.527,155.967
124.648,156.214
125.42,155.773
124.576,155.158
125.026,156.05
124.71,153.699
124.29,152.96
124.321,152.974
123.951,153.6
123.86,153.048
124.032,152.689
123.735,152.439
123.639,152.604
123.66,152.889
123.299,153.049
123.42,154.152
122.933,153.984
123.384,154.219
122.751,153.208
122.688,153.3
123.055,153.82
123.22,153.949
123.512,153.8
123.193,153.647
122.776,151.133
122.908,151.334
123.117,151.216
123.127,150.482
122.494,149.764
122.946,150.545
122.901,149.163
122.882,149.483
122.554,150.476
122.707,150.369
123.448,150.169
122.705,149.982
123.122,150.287
123.226,150.387
123.016,150.062
123.017,150.446
123.268,151.196
123.573,151.479
123.009,150.434
122.978,150.467
123.179,150.055
123.373,151.331
123.946,152.293
124.501,153.425
124.448,152.991
124.321,153.202
125.119,154.367
125.053,154.159
125.659,155.002
125.93,155.283
126.171,155.654
126.213,155.722
125.411,155.324
126.662,157.063
126.526,157.339
125.667,156.752
125.763,156.931
125.776,156.967
124.288,156.423
124.821,157.186
125.37,157.163
125.277,156.505
124.911,156.113
124.938,156.147
125.258,156.356
124.882,155.822
124.751,155.65
124.361,155.159
124.659,154.048
124.512,154.028
124.543,153.684
123.957,153.73
124.069,154.355
123.857,154.265
123.774,154.307
123.725,154.453
124.089,154.715
124.415,155.089
124.463,155.34
124.893,156.34
